"","YOB","urban","suburb","rural"
"1",1945,0.161,0.384,0.643
"2",1946,0.242,0.426,0.578
"3",1947,0.212,0.426,0.568
"4",1948,0.192,0.379,0.53
"5",1949,0.144,0.375,0.564
"6",1950,0.146,0.339,0.546
"7",1951,0.062,0.361,0.484
"8",1952,0.049,0.337,0.472
"9",1953,0.048,0.317,0.424
"10",1954,0.038,0.248,0.426
"11",1955,0.082,0.259,0.431
"12",1956,0.044,0.261,0.428
"13",1957,0.028,0.232,0.368
"14",1958,0.028,0.19,0.381
"15",1959,-0.006,0.184,0.299
"16",1960,0.06,0.169,0.334
"17",1961,-0.005,0.111,0.286
"18",1962,-0.015,0.164,0.234
"19",1963,-0.02,0.114,0.264
"20",1964,-0.024,0.102,0.268
"21",1965,0.043,0.104,0.252
"22",1966,0.019,0.094,0.23
"23",1967,0,0.068,0.198
"24",1968,0.027,0.055,0.179
"25",1969,0.033,0.062,0.177
"26",1970,0.036,0.025,0.177
"27",1971,-0.004,0.036,0.106
"28",1972,0.059,0.037,0.105
"29",1973,0.057,0.016,0.11
"30",1974,0.03,0.073,0.088
"31",1975,0.034,0.003,0.084
"32",1976,0.008,0.018,0.075
"33",1977,0.002,-0.008,0.058
"34",1978,0.025,-0.02,0.037
"35",1979,0.031,-0.029,0.021
"36",1980,-0.023,-0.047,-0.011
"37",1981,-0.018,-0.021,-0.016
"38",1982,0,-0.001,-0.028
"39",1983,-0.011,-0.052,-0.051
"40",1984,-0.009,-0.033,-0.042
"41",1985,0.02,-0.011,-0.064
"42",1986,0.022,-0.011,-0.052
"43",1987,0.009,-0.017,-0.047
"44",1988,-0.004,-0.004,-0.053
"45",1989,0.008,0.022,-0.028
"46",1990,-0.003,-0.027,-0.028
"47",1991,0.044,0.036,-0.044
"48",1992,0.023,0.03,-0.018
"49",1993,0.015,0.044,-0.026
"50",1994,0.031,0.054,-0.022
"51",1995,-0.017,0.034,-0.029
"52",1996,0.05,0.049,-0.001
"53",1997,0.017,0.057,-0.008
"54",1998,0.069,0,-0.024
"55",1999,0.07,0.068,-0.007
"56",2000,0.095,0.089,0.006
"57",2001,0.066,0.026,0.027
