"","YOB","LEN_NAMES_male_rural","LEN_NAMES_female_rural","LEN_NAMES_male_suburb","LEN_NAMES_female_suburb","LEN_NAMES_male_urban","LEN_NAMES_female_urban","SD_NAMES_male_rural","SD_NAMES_female_rural","SD_NAMES_male_suburb","SD_NAMES_female_suburb","SD_NAMES_male_urban","SD_NAMES_female_urban","SE_NAMES_male_rural","SE_NAMES_female_rural","SE_NAMES_male_suburb","SE_NAMES_female_suburb","SE_NAMES_male_urban","SE_NAMES_female_urban","LEN_CHARS_male_rural","LEN_CHARS_female_rural","LEN_CHARS_male_suburb","LEN_CHARS_female_suburb","LEN_CHARS_male_urban","LEN_CHARS_female_urban","SD_CHARS_male_rural","SD_CHARS_female_rural","SD_CHARS_male_suburb","SD_CHARS_female_suburb","SD_CHARS_male_urban","SD_CHARS_female_urban","SE_CHARS_male_rural","SE_CHARS_female_rural","SE_CHARS_male_suburb","SE_CHARS_female_suburb","SE_CHARS_male_urban","SE_CHARS_female_urban"
"1",1945,1.37,1.07,1.43,1.18,1.32,1.2,0.6,0.32,0.71,0.51,0.61,0.53,0.01,0,0.02,0.01,0.02,0.01,8.47,6.77,8.64,7.45,7.86,7.59,3.42,1.96,4.13,2.92,3.3,2.72,0.05,0.02,0.1,0.06,0.1,0.07
"2",1946,1.37,1.1,1.53,1.23,1.45,1.27,0.6,0.37,0.77,0.58,0.71,0.63,0.01,0.01,0.02,0.02,0.03,0.02,8.52,6.96,9.27,7.78,8.65,7.99,3.4,2.15,4.42,3.32,3.87,3.08,0.06,0.03,0.13,0.09,0.14,0.1
"3",1947,1.38,1.1,1.53,1.22,1.41,1.26,0.63,0.39,0.76,0.57,0.69,0.59,0.01,0.01,0.02,0.01,0.02,0.02,8.54,6.96,9.12,7.74,8.47,7.89,3.52,2.16,4.24,3.36,3.95,3.18,0.06,0.03,0.12,0.09,0.13,0.09
"4",1948,1.36,1.1,1.5,1.22,1.44,1.28,0.6,0.38,0.79,0.57,0.72,0.65,0.01,0,0.02,0.01,0.02,0.02,8.48,7.03,9.04,7.73,8.57,8.09,3.39,2.28,4.47,3.24,3.87,3.35,0.05,0.03,0.1,0.07,0.11,0.09
"5",1949,1.39,1.11,1.47,1.21,1.45,1.33,0.64,0.37,0.74,0.53,0.7,0.64,0.01,0.01,0.02,0.01,0.02,0.02,8.61,7.04,8.91,7.74,8.8,8.45,3.47,2.26,4.22,3.07,3.84,3.44,0.05,0.03,0.11,0.07,0.11,0.1
"6",1950,1.34,1.09,1.39,1.16,1.37,1.26,0.58,0.35,0.68,0.48,0.66,0.63,0.01,0,0.01,0.01,0.01,0.01,8.31,6.88,8.39,7.47,8.27,7.93,3.34,2.08,3.82,2.73,3.67,3.27,0.04,0.02,0.07,0.05,0.08,0.07
"7",1951,1.36,1.11,1.48,1.22,1.43,1.37,0.62,0.37,0.74,0.56,0.72,0.67,0.01,0.01,0.02,0.01,0.02,0.02,8.4,7.12,8.97,7.8,8.74,8.66,3.47,2.24,4.22,3.06,3.87,3.68,0.05,0.03,0.09,0.07,0.1,0.1
"8",1952,1.35,1.11,1.43,1.2,1.39,1.34,0.61,0.37,0.73,0.52,0.68,0.65,0.01,0,0.01,0.01,0.01,0.01,8.37,7.13,8.73,7.68,8.5,8.48,3.41,2.23,4.11,2.88,3.69,3.43,0.04,0.03,0.08,0.06,0.08,0.08
"9",1953,1.34,1.13,1.4,1.19,1.4,1.35,0.59,0.4,0.71,0.51,0.68,0.66,0.01,0,0.01,0.01,0.02,0.01,8.31,7.19,8.58,7.63,8.62,8.58,3.34,2.3,4.04,2.88,3.74,3.45,0.04,0.03,0.07,0.05,0.08,0.07
"10",1954,1.33,1.12,1.38,1.21,1.42,1.36,0.59,0.39,0.7,0.54,0.71,0.67,0.01,0,0.01,0.01,0.02,0.01,8.34,7.22,8.55,7.81,8.69,8.72,3.36,2.25,3.93,2.98,3.8,3.57,0.04,0.03,0.07,0.06,0.08,0.08
"11",1955,1.33,1.11,1.35,1.18,1.37,1.3,0.6,0.37,0.69,0.5,0.66,0.61,0.01,0,0.01,0.01,0.01,0.01,8.21,7.12,8.25,7.59,8.38,8.28,3.31,2.2,3.75,2.68,3.55,3.34,0.03,0.02,0.06,0.04,0.07,0.06
