"","YOB","male_rural","female_rural","male_suburb","female_suburb","male_urban","female_urban"
"1",1945,5233,6936,1653,2294,1118,1545
"2",1946,3315,3976,1132,1433,721,899
"3",1947,3806,4526,1226,1483,939,1179
"4",1948,5166,5900,1869,2347,1204,1295
"5",1949,4649,4796,1604,1760,1215,1266
"6",1950,8492,9562,2910,3445,2019,2321
"7",1951,5848,5353,2147,1982,1487,1439
"8",1952,7915,7000,2786,2535,2111,2051
"9",1953,7820,7877,3077,3238,2027,2115
"10",1954,8506,7569,2884,2867,2238,2101
"11",1955,10202,10292,3677,3927,2675,3024
"12",1956,8577,9055,3260,3416,2352,2496
"13",1957,9449,9468,3477,3527,2747,3010
"14",1958,10614,11257,4102,4469,2869,3072
"15",1959,10853,10829,3982,4034,3069,3064
"16",1960,14165,15903,5247,6053,3886,4279
"17",1961,9683,9941,3655,3733,2675,2926
"18",1962,11978,12394,4350,4488,3288,3789
"19",1963,13128,13962,4788,5659,3483,3803
"20",1964,11736,12739,4329,4643,3235,3569
"21",1965,15273,16907,5746,6472,4326,4623
"22",1966,11935,13067,4553,5007,3508,3615
"23",1967,12610,13823,4826,5146,3861,4182
"24",1968,14371,15374,5593,5937,4165,4345
"25",1969,14641,15480,5636,5728,4376,4366
"26",1970,15222,15834,5873,5977,4487,4483
"27",1971,13195,13680,4915,5161,4101,4097
"28",1972,15812,16365,6155,6077,4843,4912
"29",1973,14201,14659,5721,5708,4449,4455
"30",1974,14232,14493,5630,5650,4548,4580
"31",1975,16262,16643,6591,6442,5137,5140
"32",1976,15437,15241,6197,6050,5027,4859
"33",1977,15876,15409,6445,6158,5247,4994
"34",1978,16586,16384,6894,6829,5385,5140
"35",1979,17429,16858,7269,6911,5656,5438
"36",1980,18253,17231,7675,7237,5984,5528
"37",1981,16925,16859,7232,6918,5664,5480
"38",1982,19115,18427,8544,7667,6091,5839
"39",1983,17527,17332,7925,7498,5677,5566
"40",1984,18058,17261,7961,7463,5432,5209
"41",1985,18109,17164,8122,7534,5453,5180
"42",1986,17300,16414,7624,7287,5272,4862
"43",1987,16642,15798,7120,7064,5109,4818
"44",1988,16343,16041,7278,7284,5083,4795
"45",1989,17523,16839,7585,7579,5393,5185
"46",1990,17549,16825,7648,7818,5488,5304
"47",1991,16880,16243,7107,7309,5283,5092
"48",1992,17151,17141,7363,7498,5486,5151
"49",1993,17213,16648,7088,7400,5572,5186
"50",1994,17057,16738,6768,7133,5406,5384
"51",1995,17148,16648,6782,6847,5605,5466
"52",1996,16770,16180,6459,6620,5504,5316
"53",1997,15710,15355,5895,5942,5034,4865
"54",1998,13788,13316,4817,4616,4377,4151
"55",1999,16172,15500,6117,5840,5035,4883
"56",2000,16116,15543,6415,6125,5664,5177
"57",2001,7445,7020,2820,2735,2562,2498
